start_time,end_time,time_taken
1627202760.9963822,1627202818.9483469,57.95196461677551
1627202819.4946892,1627202877.3879182,57.89322900772095
1627202877.9448416,1627202935.7880778,57.843236207962036
1627202936.3351169,1627202994.3639965,58.02887964248657
1627202994.9008942,1627203058.7477727,63.84687852859497
1627203059.2878163,1627203118.2626498,58.974833488464355
1627203118.8147528,1627203178.0546732,59.23992037773132
1627203178.6077452,1627203236.580944,57.973198890686035
1627203237.1276245,1627203295.2938533,58.16622877120972
1627203295.8348966,1627203354.4146678,58.579771280288696
1627203354.9473355,1627203413.457893,58.510557413101196
1627203413.9968362,1627203472.532724,58.535887718200684
1627203473.0676582,1627203531.990666,58.92300772666931
1627203532.534786,1627203591.577175,59.042388916015625
1627203592.1224647,1627203651.2695248,59.14706015586853
1627203651.8088086,1627203711.3089461,59.50013756752014
1627203711.848091,1627203771.1450095,59.296918630599976
1627203771.678498,1627203831.3519661,59.67346811294556
1627203831.8915298,1627203891.1801646,59.28863477706909
1627203891.719416,1627203950.59891,58.879494190216064

,Avg.,58.96478480100632
,Std. Dev.,1.2861653285827117
