start_time,end_time,time_taken
1627241986.8204951,1627242054.2194302,67.39893507957458
1627242054.7628388,1627242122.0580957,67.29525685310364
1627242122.6145716,1627242190.31054,67.69596838951111
1627242190.8671975,1627242258.336904,67.46970653533936
1627242258.8762126,1627242325.0118628,66.13565015792847
1627242325.5525422,1627242391.8225746,66.27003240585327
1627242392.3680983,1627242459.1301303,66.76203203201294
1627242459.6759982,1627242526.1254113,66.44941306114197
1627242526.6705797,1627242593.1112914,66.44071173667908
1627242593.6556745,1627242660.7167397,67.06106519699097
1627242661.2707248,1627242727.8712075,66.60048270225525
1627242728.4123578,1627242795.0009532,66.58859539031982
1627242795.5570776,1627242862.543429,66.98635125160217
1627242863.097103,1627242929.7366974,66.63959431648254
1627242930.2856376,1627242996.974678,66.68904042243958
1627242997.5205953,1627243064.6214266,67.1008312702179
1627243065.1684568,1627243131.670017,66.50156021118164
1627243132.224119,1627243198.9005325,66.67641353607178
1627243199.4440436,1627243266.1801367,66.736093044281
1627243266.7289088,1627243333.4987679,66.76985907554626
1627243334.0432696,1627243401.813029,67.7697594165802
1627243402.3644118,1627243469.0430138,66.67860198020935
1627243469.5869756,1627243535.8006108,66.21363520622253
1627243536.3486462,1627243603.2025537,66.85390758514404
1627243603.748249,1627243669.7385907,65.9903416633606
1627243670.2933695,1627243736.1370964,65.84372687339783
1627243736.6811926,1627243802.5555043,65.87431168556213
1627243803.0954742,1627243869.0146718,65.91919755935669
1627243869.5567174,1627243935.4550705,65.898353099823
1627243936.0030916,1627244002.697724,66.6946325302124
1627244003.2403517,1627244070.213071,66.97271943092346
1627244070.757371,1627244136.9633896,66.20601868629456
1627244137.505952,1627244204.1032348,66.59728288650513
1627244204.6548185,1627244271.7983947,67.14357614517212
1627244272.3488598,1627244339.3171492,66.96828937530518
1627244339.8648868,1627244407.057236,67.19234919548035
1627244407.6078,1627244474.6567402,67.04894018173218
1627244475.2091982,1627244541.4762702,66.26707196235657
1627244542.0190878,1627244608.7752218,66.75613403320312
1627244609.326625,1627244676.1464918,66.81986665725708
1627244676.6939254,1627244743.181588,66.48766255378723
1627244743.7366602,1627244810.1804616,66.44380140304565
1627244810.72378,1627244878.164211,67.44043111801147
1627244878.7159832,1627244945.5356138,66.81963062286377
1627244946.0878406,1627245013.0905273,67.0026867389679
1627245013.642993,1627245080.6726403,67.02964735031128
1627245081.220197,1627245148.020873,66.80067610740662
1627245148.5719619,1627245215.6678624,67.0959005355835
1627245216.2319932,1627245283.2710752,67.03908205032349
1627245283.8136458,1627245350.4337578,66.62011194229126
1627245350.9738166,1627245417.4656827,66.49186611175537
1627245418.0123494,1627245485.80149,67.78914070129395
1627245486.3507583,1627245552.6869056,66.33614730834961
1627245553.2363315,1627245620.1062844,66.869952917099
1627245620.657848,1627245687.537466,66.8796181678772
1627245688.0842173,1627245755.0330014,66.9487841129303
1627245755.5713358,1627245822.5449977,66.97366189956665
1627245823.09467,1627245890.1519635,67.05729341506958
1627245890.7051358,1627245958.1140003,67.40886449813843
1627245958.6576188,1627246026.2612264,67.60360765457153
1627246026.8138895,1627246094.6688838,67.85499429702759
1627246095.2091985,1627246163.044341,67.83514261245728
1627246163.594413,1627246230.8426454,67.24823236465454
1627246231.3939722,1627246299.6266336,68.232661485672
1627246300.1795263,1627246368.2198546,68.04032826423645
1627246368.7714798,1627246436.865252,68.09377217292786
1627246437.4063067,1627246505.3669705,67.96066379547119
1627246505.9116635,1627246574.1326928,68.22102928161621
1627246574.6730099,1627246642.6921499,68.0191400051117
1627246643.2376814,1627246711.7120872,68.47440576553345
1627246712.2564476,1627246780.586278,68.32983040809631
1627246781.1299076,1627246849.463405,68.3334972858429
1627246850.0179858,1627246918.691804,68.67381811141968
1627246919.2333317,1627246987.4116542,68.17832255363464
1627246987.9621758,1627247056.1615484,68.19937252998352
1627247056.7054176,1627247124.7543547,68.04893708229065
1627247125.3060758,1627247193.504983,68.19890713691711
1627247194.0458176,1627247262.2840164,68.23819875717163
1627247262.8286438,1627247331.2183862,68.38974237442017
1627247331.7672133,1627247399.8174267,68.05021333694458
1627247400.3649414,1627247468.792184,68.42724275588989
1627247469.332445,1627247537.8435395,68.51109457015991
1627247538.3828864,1627247606.9510558,68.56816935539246
1627247607.4997876,1627247675.8810058,68.38121819496155
1627247676.439797,1627247744.7478454,68.3080484867096
1627247745.2952828,1627247813.5402594,68.24497652053833
1627247814.0852458,1627247882.4380524,68.35280656814575
1627247882.9847114,1627247951.7018952,68.71718382835388
1627247952.2556965,1627248020.7564805,68.50078392028809
1627248021.305562,1627248089.870591,68.56502890586853
1627248090.4109786,1627248158.8413792,68.43040060997009
1627248159.3846047,1627248228.087314,68.70270919799805
1627248228.6323147,1627248296.7529414,68.12062668800354
1627248297.3083344,1627248365.9869866,68.67865228652954
1627248366.5354981,1627248435.0831203,68.5476222038269
1627248435.6295094,1627248504.2350185,68.60550904273987
1627248504.7799087,1627248573.6843379,68.9044291973114
1627248574.2333949,1627248642.6961792,68.46278429031372
1627248643.2475224,1627248711.718932,68.47140955924988
1627248712.2775269,1627248781.4269931,69.14946627616882

,Avg.,67.40386248111724
,Std. Dev.,0.8681141856004431
