CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.582031 1626350712.1137
MEM 19.757812 1626350712.2167
MEM 29.546875 1626350712.3277
MEM 31.062500 1626350712.4391
MEM 31.062500 1626350712.5512
MEM 31.062500 1626350712.6613
MEM 31.320312 1626350712.7727
MEM 31.382812 1626350712.8827
MEM 31.632812 1626350712.9931
MEM 31.820312 1626350713.1029
MEM 32.070312 1626350713.2118
MEM 32.132812 1626350713.3222
MEM 32.382812 1626350713.4335
MEM 32.632812 1626350713.5417
