start_time,end_time,time_taken
1622884867.6696067,1622884894.2308974,26.561290740966797
1622884894.2308974,1622884920.7581394,26.527241945266724
1622884920.7581394,1622884947.294908,26.536768674850464
1622884947.294908,1622884973.8247676,26.52985954284668
1622884973.8247676,1622885000.4165385,26.591770887374878
1622885000.4165385,1622885026.9811964,26.56465792655945
1622885026.9811964,1622885053.5770724,26.59587597846985
1622885053.5770724,1622885080.1583676,26.581295251846313
1622885080.1583676,1622885106.7629957,26.604628086090088
1622885106.7629957,1622885133.33476,26.57176423072815
