start_time,end_time,time_taken
1622828219.2125397,1622828258.24826,39.035720348358154
1622828258.306261,1622828297.6729457,39.366684675216675
1622828297.729075,1622828337.0558538,39.32677888870239
1622828337.1128604,1622828376.3146825,39.20182204246521
1622828376.3723335,1622828415.41577,39.0434365272522
1622828415.4723096,1622828454.6458976,39.173588037490845
1622828454.7044375,1622828494.0004117,39.295974254608154
1622828494.0584123,1622828533.064405,39.00599265098572
1622828533.1229582,1622828572.353159,39.23020076751709
1622828572.4108374,1622828611.3029444,38.892107009887695
