CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.562500 1626357265.4808
MEM 21.507812 1626357265.5928
MEM 30.363281 1626357265.7008
MEM 31.761719 1626357265.8096
MEM 31.765625 1626357265.9178
MEM 32.074219 1626357266.0265
MEM 32.136719 1626357266.1357
MEM 32.136719 1626357266.2457
MEM 32.136719 1626357266.3547
MEM 32.199219 1626357266.4645
MEM 32.199219 1626357266.5717
MEM 32.199219 1626357266.6786
MEM 32.226562 1626357266.7862
MEM 32.324219 1626357266.8950
MEM 32.324219 1626357267.0060
MEM 32.324219 1626357267.1160
MEM 32.324219 1626357267.2273
MEM 32.386719 1626357267.3360
