CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.578125 1626357258.9848
MEM 19.886719 1626357259.0978
MEM 30.457031 1626357259.2098
MEM 31.902344 1626357259.3196
MEM 31.910156 1626357259.4274
MEM 32.199219 1626357259.5352
MEM 32.281250 1626357259.6440
MEM 32.281250 1626357259.7528
MEM 32.281250 1626357259.8629
MEM 32.281250 1626357259.9714
MEM 32.343750 1626357260.0810
MEM 32.343750 1626357260.1902
MEM 32.347656 1626357260.2984
MEM 32.390625 1626357260.4075
MEM 32.468750 1626357260.5163
MEM 32.468750 1626357260.6248
MEM 32.468750 1626357260.7325
MEM 32.468750 1626357260.8415
MEM 32.050781 1626357260.9524
