start_time,end_time,time_taken
1627301342.0293987,1627301342.5599284,0.5305297374725342
1627301342.561929,1627301343.1109853,0.5490562915802002

,Avg.,0.5397930145263672
,Std. Dev.,0.013100252041550126
