start_time,end_time,time_taken
1628247728.4243503,1628247728.7452712,0.3209209442138672
1628247729.5402713,1628247729.8672707,0.3269994258880615
1628247730.638836,1628247730.9422505,0.30341458320617676

,Avg.,0.31711165110270184
,Std. Dev.,0.012245171970511197
1628247746.5116456,1628247746.9812396,0.46959400177001953
1628247747.9562395,1628247748.4122784,0.4560389518737793
1628247749.241708,1628247749.6357586,0.39405059814453125

,Avg.,0.32504691602120606
,Std. Dev.,0.14203167396922028
1628247770.8671849,1628247772.2624185,1.3952336311340332
1628247773.0848699,1628247774.36043,1.2755601406097412
1628247775.1804256,1628247776.3523645,1.1719388961791992

,Avg.,0.5315528143140806
,Std. Dev.,0.44593774385069085
1628247857.7261417,1628247868.1300938,10.40395212173462
1628247868.8836286,1628247880.5243115,11.640682935714722
1628247881.4328663,1628247892.7709577,11.338091373443604

,Avg.,2.2928001986189313
,Std. Dev.,4.0888378119354885
