CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.578125 1626357386.3512
MEM 20.593750 1626357386.4662
MEM 30.363281 1626357386.5772
MEM 30.964844 1626357386.6873
MEM 30.964844 1626357386.7964
MEM 30.964844 1626357386.9055
MEM 30.964844 1626357387.0152
MEM 30.988281 1626357387.1243
MEM 31.000000 1626357387.2347
MEM 31.000000 1626357387.3445
MEM 31.000000 1626357387.4566
MEM 31.000000 1626357387.5670
MEM 31.000000 1626357387.6773
MEM 31.062500 1626357387.7854
