CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.562500 1626357434.3998
MEM 19.105469 1626357434.5008
MEM 29.410156 1626357434.6128
MEM 31.027344 1626357434.7248
MEM 31.027344 1626357434.8327
MEM 31.027344 1626357434.9409
MEM 31.027344 1626357435.0525
MEM 31.160156 1626357435.1639
MEM 31.410156 1626357435.2734
MEM 31.535156 1626357435.3830
MEM 31.683594 1626357435.4910
MEM 31.828125 1626357435.6010
MEM 32.160156 1626357435.7099
MEM 32.437500 1626357435.8199
