CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.562500 1626357436.7807
MEM 21.601562 1626357436.8927
MEM 30.246094 1626357437.0017
MEM 30.957031 1626357437.1126
MEM 30.957031 1626357437.2228
MEM 30.957031 1626357437.3340
MEM 31.019531 1626357437.4446
MEM 31.136719 1626357437.5546
MEM 31.277344 1626357437.6649
MEM 31.527344 1626357437.7736
MEM 31.644531 1626357437.8824
MEM 31.964844 1626357437.9927
MEM 32.375000 1626357438.1014
MEM 32.589844 1626357438.2112
