CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.566406 1626357388.7285
MEM 18.566406 1626357388.8285
MEM 29.195312 1626357388.9405
MEM 30.953125 1626357389.0505
MEM 30.953125 1626357389.1619
MEM 30.953125 1626357389.2738
MEM 30.984375 1626357389.3817
MEM 30.984375 1626357389.4919
MEM 30.988281 1626357389.6027
MEM 30.988281 1626357389.7143
MEM 30.988281 1626357389.8228
MEM 30.988281 1626357389.9331
MEM 30.988281 1626357390.0443
MEM 30.988281 1626357390.1551
MEM 31.054688 1626357390.2622
