CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.574219 1626357439.4069
MEM 19.535156 1626357439.5089
MEM 30.316406 1626357439.6209
MEM 31.035156 1626357439.7289
MEM 31.035156 1626357439.8399
MEM 31.035156 1626357439.9492
MEM 31.171875 1626357440.0602
MEM 31.355469 1626357440.1710
MEM 31.605469 1626357440.2799
MEM 31.667969 1626357440.3885
MEM 31.855469 1626357440.4969
MEM 32.105469 1626357440.6049
MEM 32.355469 1626357440.7163
MEM 32.542969 1626357440.8274
