start_time,end_time,time_taken
1628247731.8473518,1628247732.2650664,0.41771459579467773
1628247733.6285203,1628247734.0241246,0.39560437202453613
1628247735.4757245,1628247735.8866813,0.41095685958862305

,Avg.,0.4080919424692789
,Std. Dev.,0.0113301064146356
1628247750.5087616,1628247751.622617,1.1138553619384766
1628247752.9337819,1628247753.9984627,1.064680814743042
1628247755.425819,1628247756.519424,1.0936050415039062

,Avg.,0.614479886809647
,Std. Dev.,0.4167986819663983
1628247777.2528715,1628247784.8216438,7.568772315979004
1628247786.1171877,1628247793.6864183,7.569230556488037
1628247794.9728587,1628247802.5467656,7.573906898498535

,Avg.,2.2045405718629847
,Std. Dev.,3.0761404589546157
1628247893.6719575,1628247968.840131,75.16817355155945
1628247970.1603713,1628248044.5512958,74.39092445373535
1628248045.8734522,1628248120.1763494,74.30289721488953

,Avg.,14.322316871401151
,Std. Dev.,27.86936026828836
