start_time,end_time,time_taken
1622827723.7495813,1622827763.1601977,39.410616397857666
1622827763.2202606,1622827802.592237,39.371976375579834
1622827802.6501014,1622827841.9093049,39.25920343399048
1622827841.9653077,1622827881.2296586,39.26435089111328
1622827881.28766,1622827920.4917018,39.204041957855225
1622827920.5487022,1622827959.7688525,39.22015023231506
1622827959.826866,1622827999.3862004,39.55933451652527
1622827999.4422016,1622828038.8171678,39.37496614456177
1622828038.8741684,1622828078.456282,39.58211350440979
1622828078.5122848,1622828117.6389174,39.12663269042969
