CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.562500 1626353095.1834
MEM 19.960938 1626353095.2924
MEM 29.082031 1626353095.4044
MEM 30.859375 1626353095.5162
MEM 30.859375 1626353095.6247
MEM 30.859375 1626353095.7342
MEM 30.890625 1626353095.8463
MEM 30.890625 1626353095.9563
MEM 30.894531 1626353096.0680
MEM 30.894531 1626353096.1772
MEM 30.894531 1626353096.2857
MEM 30.894531 1626353096.3961
MEM 30.957031 1626353096.5042
MEM 30.957031 1626353096.6118
MEM 30.957031 1626353096.7211
MEM 30.957031 1626353096.8312
MEM 30.957031 1626353096.9404
MEM 30.957031 1626353097.0513
MEM 30.957031 1626353097.1610
MEM 30.957031 1626353097.2709
MEM 30.957031 1626353097.3802
MEM 30.957031 1626353097.4918
MEM 30.957031 1626353097.6031
MEM 30.957031 1626353097.7137
MEM 30.957031 1626353097.8237
MEM 30.957031 1626353097.9338
MEM 30.957031 1626353098.0451
MEM 30.957031 1626353098.1563
MEM 30.957031 1626353098.2666
MEM 30.957031 1626353098.3786
MEM 30.957031 1626353098.4900
MEM 30.957031 1626353098.6006
MEM 30.957031 1626353098.7115
MEM 30.957031 1626353098.8223
MEM 30.957031 1626353098.9324
MEM 30.957031 1626353099.0414
MEM 30.957031 1626353099.1536
MEM 30.957031 1626353099.2625
MEM 30.957031 1626353099.3715
MEM 30.957031 1626353099.4800
MEM 30.957031 1626353099.5914
MEM 30.957031 1626353099.6997
MEM 30.957031 1626353099.8097
MEM 30.957031 1626353099.9196
MEM 30.957031 1626353100.0312
MEM 30.957031 1626353100.1400
MEM 30.710938 1626353100.2467
