start_time,end_time,time_taken
1622885135.5084543,1622885162.0706508,26.562196493148804
1622885162.0706508,1622885188.4133377,26.342686891555786
1622885188.4133377,1622885214.8795784,26.466240644454956
1622885214.8795784,1622885241.3659701,26.48639178276062
1622885241.3659701,1622885267.9199214,26.553951263427734
1622885267.9199214,1622885294.4745207,26.554599285125732
1622885294.4745207,1622885321.0741131,26.599592447280884
1622885321.0741131,1622885347.5454526,26.471339464187622
1622885347.5454526,1622885373.9924264,26.44697380065918
1622885373.9924264,1622885400.5851765,26.592750072479248
